,price,beds,bedrooms,bathrooms,zipcode,neighbourhood,property_type,room_type,accommodates,guests_included,minimum_nights,instant_bookable
23903,325.0,6,5.0,3.0,90303.0,Inglewood,Villa,Entire home/apt,10,4,1,1
23904,100.0,2,1.0,3.0,90024.0,Westwood,Hostel,Hotel room,2,4,1,1
23905,99.0,1,1.0,1.0,90028.0,Hollywood,Loft,Entire home/apt,3,1,1,0
23906,199.0,4,3.0,2.5,91754.0,Monterey Park,Apartment,Entire home/apt,6,1,1,1
23907,95.0,1,1.0,1.0,90005.0,Westlake,Apartment,Private room,2,2,1,0
23908,219.0,4,4.0,2.0,91016.0,Monrovia,Villa,Entire home/apt,8,6,1,1
23909,65.0,1,1.0,1.5,90016.0,South LA,House,Private room,2,1,2,1
23910,115.0,3,0.0,1.0,91706.0,Baldwin Park,House,Entire home/apt,5,3,1,1
23911,500.0,2,2.0,1.0,90292.0,Marina Del Rey,Bungalow,Entire home/apt,4,1,2,0
23912,89.0,1,0.0,1.0,90046.0,Hollywood,Apartment,Entire home/apt,3,1,31,1
23913,53.0,2,1.0,1.0,91504.0,Burbank,House,Private room,4,2,1,0
23914,175.0,1,1.0,1.0,90046.0,Hollywood,Apartment,Entire home/apt,4,1,30,1
23915,95.0,1,1.0,1.0,90026.0,Silver Lake,House,Private room,2,1,30,1
23916,89.0,4,1.0,2.0,90013.0,Downtown,Loft,Private room,3,2,3,0
23917,108.0,3,1.0,2.0,90013.0,Downtown,Loft,Private room,4,2,3,0
23918,125.0,2,1.0,1.0,91606.0,North Hollywood,House,Private room,2,1,2,0
23919,130.0,1,2.0,1.0,90068.0,Hollywood Hills,Apartment,Entire home/apt,4,2,2,1
23920,39.0,2,1.0,1.0,90012.0,Echo Park,Apartment,Private room,2,1,30,0
23921,45.0,1,1.0,1.0,90043.0,South LA,House,Private room,1,1,30,1
23922,109.0,3,1.0,1.0,90017.0,Westlake,Apartment,Entire home/apt,6,1,1,1
23923,79.0,1,1.0,1.0,90025.0,Westside,Apartment,Private room,2,1,3,0
23924,250.0,3,3.0,2.5,90026.0,Echo Park,House,Entire home/apt,6,6,31,0
23925,100.0,1,1.0,1.0,91384.0,,House,Private room,2,1,1,1
23926,125.0,1,1.0,1.0,90066.0,Mar Vista,Apartment,Entire home/apt,4,1,30,1
23927,150.0,2,1.0,1.0,91601.0,North Hollywood,Apartment,Entire home/apt,5,1,1,0
23928,79.0,1,1.0,1.0,90028.0,Hollywood,Apartment,Private room,2,1,2,1
23929,295.0,3,3.0,2.0,91316.0,Encino,House,Entire home/apt,9,7,3,0
23930,98.0,1,1.0,1.0,90064.0,Mar Vista,House,Private room,2,1,1,0
23931,300.0,2,2.0,1.5,90808.0,Long Beach,Condominium,Entire home/apt,4,5,2,1
23932,225.0,2,1.0,1.0,90015.0,South LA,Apartment,Entire home/apt,4,2,2,1
23933,110.0,1,1.0,1.0,90291.0,Venice,Bungalow,Private room,2,1,30,1
23934,89.0,1,0.0,1.0,90004.0,Mid-Wilshire,Apartment,Entire home/apt,2,1,1,1
23935,125.0,0,0.0,1.0,90046.0,West Hollywood,Apartment,Entire home/apt,2,1,4,0
23936,65.0,1,1.0,1.0,90035.0,Mid-Wilshire,House,Private room,2,2,90,1
23937,95.0,2,1.0,1.0,91604.0,Studio City,Guest suite,Entire home/apt,4,2,3,1
23938,301.0,3,3.0,2.0,90008.0,South LA,House,Entire home/apt,10,1,2,1
23939,89.0,2,1.0,1.0,90005.0,Mid-Wilshire,Apartment,Entire home/apt,4,2,2,1
23940,210.0,6,3.0,2.0,91340.0,Pacoima,House,Entire home/apt,10,10,2,1
23941,75.0,1,0.0,1.0,90031.0,Elysian Valley,Guesthouse,Entire home/apt,2,1,4,0
23942,200.0,4,2.0,2.0,90012.0,Downtown,Apartment,Entire home/apt,8,6,30,1
23943,50.0,2,2.0,1.0,91767.0,,Farm stay,Private room,4,1,1,1
23944,35.0,1,1.0,1.0,91755.0,Monterey Park,House,Private room,1,1,2,0
23945,170.0,6,3.0,1.0,91723.0,Covina,House,Entire home/apt,8,5,2,1
23946,189.0,4,4.0,2.0,91202.0,Glendale,House,Entire home/apt,8,4,1,1
23947,90.0,1,1.0,1.0,90004.0,Mid-Wilshire,House,Private room,2,2,31,0
23948,45.0,1,1.0,1.0,90024.0,Westwood,Apartment,Shared room,1,1,31,0
23949,2000.0,5,5.0,5.0,91307.0,West Hills,House,Entire home/apt,8,8,3,1
23950,45.0,1,1.0,1.0,90024.0,Westwood,Apartment,Shared room,1,1,31,0
23951,124.0,1,2.0,1.0,90291.0,Venice,Bungalow,Entire home/apt,5,2,30,1
23952,60.0,1,1.0,1.0,90278.0,Redondo Beach,House,Private room,1,1,30,0
23953,150.0,3,2.0,1.0,90019.0,Mid-Wilshire,Apartment,Entire home/apt,4,2,30,1
23954,300.0,5,4.0,3.0,90016.0,Mid-City,House,Entire home/apt,10,2,2,1
23955,70.0,1,1.0,1.0,90019.0,West Adams,House,Private room,2,2,30,0
23956,66.0,1,1.0,1.0,90026.0,Echo Park,House,Private room,2,2,1,1
23957,75.0,1,1.0,1.0,90026.0,Echo Park,House,Private room,2,2,1,1
23958,75.0,1,1.0,1.0,91016.0,Monrovia,House,Private room,2,1,1,0
23959,75.0,1,1.0,1.0,90026.0,Echo Park,House,Private room,2,2,1,0
23960,45.0,2,1.0,1.0,91748.0,,House,Private room,4,2,1,1
23961,509.0,9,6.0,3.0,90048.0,Mid-Wilshire,House,Entire home/apt,14,13,2,1
23962,60.0,1,1.0,1.5,90005.0,Mid-Wilshire,Apartment,Private room,1,1,2,0
23963,75.0,2,0.0,1.0,91364.0,Woodland Hills/Warner Center,Guest suite,Entire home/apt,3,2,30,0
23964,250.0,1,1.0,1.0,91766.0,,Apartment,Entire home/apt,2,1,6,0
23965,299.0,3,3.0,2.0,90026.0,Echo Park,House,Entire home/apt,6,1,3,0
23966,369.0,4,3.0,2.5,90004.0,Mid-Wilshire,Townhouse,Entire home/apt,10,1,2,1
23967,319.0,4,3.0,3.0,90004.0,Mid-Wilshire,Townhouse,Entire home/apt,10,1,2,1
23968,70.0,1,1.0,1.0,91325.0,Lake Balboa,House,Private room,2,1,1,1
23969,135.0,2,2.0,3.0,91775.0,East San Gabriel,House,Entire home/apt,6,6,30,0
23970,250.0,5,3.0,2.5,90266.0,Manhattan Beach,Guest suite,Entire home/apt,6,6,30,0
23971,55.0,1,1.0,1.5,90706.0,Bellflower,Townhouse,Private room,2,1,1,0
23972,400.0,11,6.0,4.0,91354.0,,House,Entire home/apt,16,16,1,1
23973,175.0,2,0.0,1.0,91733.0,El Monte,Camper/RV,Entire home/apt,4,1,2,1
23974,115.0,2,0.0,1.0,90292.0,Marina Del Rey,Apartment,Entire home/apt,3,1,30,1
23975,220.0,1,0.0,1.0,91733.0,El Monte,Camper/RV,Entire home/apt,3,1,3,0
23976,129.0,2,1.0,1.0,90005.0,Mid-Wilshire,Apartment,Entire home/apt,4,2,1,1
23977,55.0,0,0.0,1.0,91335.0,Reseda,Other,Entire home/apt,1,1,1,0
23978,189.0,2,2.0,2.0,91754.0,Alhambra,Condominium,Entire home/apt,4,1,3,1
23979,300.0,2,2.0,2.5,91355.0,,House,Entire home/apt,6,4,2,0
23980,80.0,1,0.0,1.0,91607.0,Valley Village,Guesthouse,Entire home/apt,2,2,30,1
23981,89.0,1,1.0,1.0,90026.0,Echo Park,House,Private room,1,1,1,0
23982,109.0,1,1.0,1.0,91791.0,West Covina,Villa,Private room,2,1,2,0
